id_garantie,numero_garantie,id_contrat,type_garantie,valeur,date_affectation
81,GAR_000081,86,Garantie Tamwilcom,10035952.36,2023-07-15
82,GAR_000082,87,Garantie Tamwilcom,899213.93,2018-02-28
83,GAR_000083,87,Garantie Tamwilcom,787581.82,2018-03-07
84,GAR_000084,89,Garantie Tamwilcom,82160.63,2024-12-17
85,GAR_000085,90,Garantie Tamwilcom,207399.25,2024-10-16
86,GAR_000086,91,Nantissement,6402689.16,2024-07-12
87,GAR_000087,91,Garantie Tamwilcom,4233985.26,2024-07-12
88,GAR_000088,93,Garantie sur créances,823020.91,2024-08-09
89,GAR_000089,93,Garantie de l'État,1058125.65,2024-08-06
90,GAR_000090,93,Aval,908064.04,2024-08-12
91,GAR_000091,94,Garantie sur matériel,8668036.96,2022-08-08
92,GAR_000092,95,Caution personnelle,574833.06,2024-10-24
93,GAR_000093,96,Garantie Tamwilcom,687770.8,2024-04-28
94,GAR_000094,97,Caution bancaire,890740.59,2024-08-25
95,GAR_000095,98,Caution personnelle,66651.0,2024-09-16
96,GAR_000096,100,Garantie Tamwilcom,1768243.32,2022-02-20
97,GAR_000097,101,Garantie de l'État,15294543.21,2024-11-30
98,GAR_000098,101,Hypothèque,20592797.76,2024-11-28
99,GAR_000099,102,Garantie Tamwilcom,2292842.24,2021-05-13
100,GAR_000100,103,Nantissement,28359391.09,2024-03-12
101,GAR_000101,104,Caution personnelle,207238.58,2023-10-16
102,GAR_000102,105,Garantie Tamwilcom,273495.33,2025-01-02
103,GAR_000103,107,Caution bancaire,5297306.51,2024-03-24
104,GAR_000104,107,Nantissement,7500818.57,2024-03-19
105,GAR_000105,108,Garantie sur matériel,4226416.24,2024-10-15
106,GAR_000106,111,Nantissement,3936602.99,2022-05-26
107,GAR_000107,114,Nantissement,3196553.68,2023-01-07
108,GAR_000108,114,Garantie sur matériel,2039070.48,2023-01-10
109,GAR_000109,116,Garantie Tamwilcom,724114.34,2024-11-19
110,GAR_000110,117,Garantie Tamwilcom,188454.9,2023-02-21
111,GAR_000111,119,Garantie Tamwilcom,69144.73,2024-08-13
112,GAR_000112,121,Garantie Tamwilcom,49647.47,2024-12-07
113,GAR_000113,122,Garantie Tamwilcom,374741.31,2023-01-21
114,GAR_000114,124,Hypothèque,497049.3,2024-07-09
115,GAR_000115,125,Garantie Tamwilcom,523921.24,2024-07-28
116,GAR_000116,126,Nantissement,8031187.39,2024-11-17
117,GAR_000117,127,Hypothèque,10622803.03,2024-12-04
118,GAR_000118,127,Aval,6355700.01,2024-12-05
119,GAR_000119,127,Nantissement,11055617.67,2024-12-05
120,GAR_000120,128,Caution bancaire,6279001.84,2023-07-24
121,GAR_000121,129,Garantie Tamwilcom,281306.84,2024-08-09
122,GAR_000122,130,Caution personnelle,27451.95,2024-12-27
123,GAR_000123,131,Aval,16649581.47,2021-05-07
124,GAR_000124,133,Caution personnelle,135460.15,2024-07-01
125,GAR_000125,134,Garantie Tamwilcom,920966.97,2024-11-30
126,GAR_000126,135,Caution bancaire,623284.54,2024-06-13
127,GAR_000127,135,Garantie sur matériel,522901.33,2024-06-14
128,GAR_000128,136,Aval,23823150.2,2019-10-19
129,GAR_000129,137,Nantissement,14106695.27,2024-11-10
130,GAR_000130,138,Hypothèque,1161806.59,2024-06-18
131,GAR_000131,138,Garantie sur matériel,885078.93,2024-06-18
132,GAR_000132,140,Garantie Tamwilcom,9852862.5,2020-12-21
133,GAR_000133,141,Caution personnelle,218311.25,2024-10-20
134,GAR_000134,143,Garantie Tamwilcom,282540.36,2023-08-08
135,GAR_000135,144,Caution personnelle,32805.52,2024-12-16
136,GAR_000136,145,Caution bancaire,6147150.0,2023-12-15
137,GAR_000137,146,Garantie Tamwilcom,8635688.07,2024-08-17
138,GAR_000138,147,Nantissement,1796846.78,2024-12-22
139,GAR_000139,150,Hypothèque,6935204.28,2024-11-22
140,GAR_000140,152,Garantie sur matériel,10583972.86,2021-05-17
141,GAR_000141,154,Garantie Tamwilcom,497570.51,2024-05-17
142,GAR_000142,155,Garantie Tamwilcom,355983.57,2024-09-26
143,GAR_000143,157,Garantie Tamwilcom,72284.71,2024-12-16
144,GAR_000144,158,Nantissement,10083458.43,2022-07-13
145,GAR_000145,159,Garantie de l'État,994013.75,2019-01-16
146,GAR_000146,159,Garantie de l'État,1057346.86,2019-01-19
147,GAR_000147,162,Garantie de l'État,2812256.78,2022-01-25
148,GAR_000148,163,Aval,7203376.94,2022-02-23
149,GAR_000149,163,Garantie sur créances,5726313.03,2022-03-02
150,GAR_000150,163,Garantie sur fonds de commerce,8863903.4,2022-02-25
151,GAR_000151,164,Garantie sur matériel,393534.59,2024-10-24
152,GAR_000152,164,Hypothèque,712595.16,2024-10-24
153,GAR_000153,166,Aval,1185183.01,2024-11-23
154,GAR_000154,166,Hypothèque,1323325.43,2024-11-27
155,GAR_000155,166,Aval,921208.85,2024-11-28
156,GAR_000156,168,Caution bancaire,1092364.29,2024-11-13
157,GAR_000157,169,Garantie sur fonds de commerce,2890408.74,2020-09-10
158,GAR_000158,169,Hypothèque,2964148.23,2020-09-14
159,GAR_000159,170,Hypothèque,4368596.43,2024-11-26
160,GAR_000160,172,Hypothèque,1623521.53,2023-11-16
161,GAR_000161,172,Hypothèque,1722790.31,2023-11-16
162,GAR_000162,173,Caution personnelle,220817.88,2024-07-02
163,GAR_000163,174,Garantie Tamwilcom,46697.97,2024-12-18
164,GAR_000164,177,Garantie de l'État,1438967.62,2018-02-15
165,GAR_000165,177,Garantie sur créances,1098866.23,2018-02-14
166,GAR_000166,177,Aval,1428485.26,2018-02-19
167,GAR_000167,178,Garantie de l'État,890485.03,2017-02-26
168,GAR_000168,179,Garantie Tamwilcom,3483849.21,2023-06-23
169,GAR_000169,180,Garantie Tamwilcom,1522260.45,2024-06-01
170,GAR_000170,181,Garantie Tamwilcom,643238.27,2024-09-22
171,GAR_000171,182,Caution personnelle,517008.57,2024-12-09
172,GAR_000172,183,Caution personnelle,103187.78,2024-06-10
173,GAR_000173,184,Garantie Tamwilcom,833402.34,2024-08-20
174,GAR_000174,186,Garantie Tamwilcom,192767.02,2024-09-17
175,GAR_000175,189,Caution personnelle,132587.94,2024-11-09
176,GAR_000176,191,Garantie sur matériel,3428738.43,2024-07-29
177,GAR_000177,192,Garantie sur matériel,398234.07,2024-10-04
178,GAR_000178,193,Hypothèque,15265038.62,2024-12-06
179,GAR_000179,194,Hypothèque,4080864.48,2024-08-04
180,GAR_000180,194,Nantissement,3510762.95,2024-08-08
181,GAR_000181,195,Garantie sur créances,9967965.34,2024-06-22
182,GAR_000182,197,Nantissement,13956836.74,2024-11-20
183,GAR_000183,198,Garantie sur matériel,6033748.89,2023-08-25
184,GAR_000184,199,Garantie sur créances,12976579.99,2023-04-07
185,GAR_000185,199,Hypothèque,18645999.23,2023-04-11
186,GAR_000186,199,Nantissement,19043123.96,2023-04-04
187,GAR_000187,200,Caution personnelle,681393.46,2024-06-13
188,GAR_000188,201,Garantie Tamwilcom,206424.11,2024-12-10
189,GAR_000189,202,Garantie sur créances,18484483.45,2021-01-25
190,GAR_000190,202,Hypothèque,29685074.68,2021-01-20
191,GAR_000191,203,Caution personnelle,505742.15,2024-09-28
192,GAR_000192,204,Garantie sur matériel,2553708.71,2024-10-19
193,GAR_000193,204,Hypothèque,5013737.35,2024-10-17
194,GAR_000194,205,Garantie Tamwilcom,14517851.7,2023-05-13
195,GAR_000195,208,Caution personnelle,231624.51,2024-12-03
196,GAR_000196,209,Garantie Tamwilcom,3491369.89,2024-10-05
197,GAR_000197,210,Hypothèque,14841329.01,2024-08-16
198,GAR_000198,211,Caution personnelle,321083.15,2024-10-09
199,GAR_000199,212,Nantissement,1035540.66,2022-10-13
200,GAR_000200,213,Hypothèque,833213.61,2024-07-01
201,GAR_000201,214,Caution personnelle,129643.19,2024-05-01
202,GAR_000202,215,Garantie Tamwilcom,488493.41,2024-11-12
203,GAR_000203,219,Hypothèque,771098.21,2024-12-10
204,GAR_000204,220,Hypothèque,1815780.57,2024-04-01
205,GAR_000205,220,Garantie sur créances,960877.46,2024-04-04
206,GAR_000206,220,Aval,1146487.73,2024-03-30
207,GAR_000207,221,Garantie sur fonds de commerce,4995967.53,2024-08-19
208,GAR_000208,223,Hypothèque,798391.05,2025-01-01
209,GAR_000209,224,Hypothèque,10463560.72,2024-02-26
210,GAR_000210,225,Caution personnelle,178188.48,2024-09-24
211,GAR_000211,227,Caution bancaire,2561816.15,2024-08-04
212,GAR_000212,228,Garantie sur matériel,445363.97,2024-11-17
213,GAR_000213,229,Caution personnelle,152041.48,2024-10-06
214,GAR_000214,230,Nantissement,4016555.4,2024-10-27
215,GAR_000215,231,Caution personnelle,468186.24,2024-11-10
216,GAR_000216,232,Caution personnelle,75399.67,2024-12-23
217,GAR_000217,234,Aval,4447761.29,2024-10-05
218,GAR_000218,234,Garantie de l'État,4207092.72,2024-10-07
219,GAR_000219,235,Caution personnelle,450634.73,2024-09-27
220,GAR_000220,236,Hypothèque,15028818.37,2024-06-24
221,GAR_000221,238,Garantie sur matériel,9251192.42,2024-09-25
222,GAR_000222,239,Garantie Tamwilcom,4307355.97,2024-07-03
223,GAR_000223,239,Hypothèque,5334062.35,2024-07-04
224,GAR_000224,240,Garantie sur matériel,8827968.76,2024-08-25
225,GAR_000225,241,Hypothèque,1796127.92,2024-09-11
226,GAR_000226,242,Caution personnelle,85735.85,2024-12-06
227,GAR_000227,243,Nantissement,46832532.75,2022-06-07
228,GAR_000228,244,Caution personnelle,236885.28,2024-11-19
229,GAR_000229,245,Caution personnelle,150145.78,2024-12-21
230,GAR_000230,246,Garantie Tamwilcom,97320.56,2024-10-21
231,GAR_000231,248,Caution bancaire,846376.05,2024-07-11
232,GAR_000232,249,Caution personnelle,293182.63,2024-08-13
233,GAR_000233,251,Caution bancaire,757591.76,2024-12-12
234,GAR_000234,254,Garantie de l'État,197412.81,2022-08-18
235,GAR_000235,255,Caution bancaire,6583857.61,2024-05-25
236,GAR_000236,256,Aval,6079053.93,2024-01-26
237,GAR_000237,256,Aval,5353126.85,2024-01-30
238,GAR_000238,256,Garantie sur fonds de commerce,8058121.88,2024-01-25
239,GAR_000239,257,Nantissement,3281791.17,2024-12-05
240,GAR_000240,258,Caution bancaire,108307.75,2024-12-03
241,GAR_000241,258,Garantie Tamwilcom,132088.56,2024-12-04
242,GAR_000242,260,Nantissement,9595492.31,2022-03-14
243,GAR_000243,261,Garantie Tamwilcom,806916.91,2024-08-06
244,GAR_000244,261,Hypothèque,1083710.09,2024-08-06
245,GAR_000245,262,Nantissement,808141.65,2023-07-10
246,GAR_000246,262,Garantie sur matériel,472195.58,2023-07-14
247,GAR_000247,264,Garantie de l'État,13018029.24,2023-03-06
248,GAR_000248,266,Garantie sur créances,8899735.25,2023-02-20
249,GAR_000249,266,Garantie sur créances,7905538.52,2023-02-15
250,GAR_000250,266,Nantissement,16890051.5,2023-02-14
251,GAR_000251,267,Caution personnelle,538217.52,2024-11-12
252,GAR_000252,268,Caution bancaire,2778030.38,2024-08-18
253,GAR_000253,270,Garantie Tamwilcom,209651.7,2024-11-20
254,GAR_000254,271,Garantie Tamwilcom,25715.92,2024-12-02
255,GAR_000255,274,Aval,9727853.79,2023-02-06
256,GAR_000256,275,Garantie Tamwilcom,1900185.68,2024-08-22
257,GAR_000257,275,Hypothèque,3366724.92,2024-08-18
258,GAR_000258,276,Garantie Tamwilcom,228195.13,2024-08-11
259,GAR_000259,277,Garantie Tamwilcom,89049.11,2024-05-06
260,GAR_000260,278,Hypothèque,20221377.54,2024-05-15
261,GAR_000261,278,Aval,12485126.96,2024-05-14
262,GAR_000262,279,Garantie Tamwilcom,561429.89,2022-11-03
263,GAR_000263,280,Caution personnelle,238195.22,2025-01-01
264,GAR_000264,281,Caution personnelle,817084.29,2024-10-26
265,GAR_000265,283,Garantie sur matériel,1367892.46,2024-10-10
266,GAR_000266,284,Garantie sur matériel,8803936.57,2020-05-28
267,GAR_000267,285,Garantie Tamwilcom,1521929.99,2024-08-15
268,GAR_000268,286,Hypothèque,1957426.72,2024-05-04
269,GAR_000269,286,Nantissement,2242696.18,2024-05-02
270,GAR_000270,290,Nantissement,2765952.21,2023-12-26
271,GAR_000271,291,Nantissement,2167451.84,2024-12-21
272,GAR_000272,292,Caution personnelle,60229.11,2024-06-18
273,GAR_000273,293,Caution bancaire,1472125.1,2024-07-12
274,GAR_000274,294,Garantie Tamwilcom,170719.93,2024-10-15
275,GAR_000275,295,Hypothèque,324398.82,2024-10-23
276,GAR_000276,296,Garantie Tamwilcom,574119.62,2023-10-03
277,GAR_000277,297,Caution personnelle,63634.39,2024-06-05
278,GAR_000278,299,Garantie Tamwilcom,526994.94,2021-08-06
279,GAR_000279,300,Garantie sur matériel,8867883.2,2022-09-16
280,GAR_000280,301,Caution personnelle,390271.37,2024-06-21
281,GAR_000281,302,Garantie Tamwilcom,50949.86,2024-09-12
282,GAR_000282,303,Nantissement,628627.87,2024-03-15
283,GAR_000283,303,Hypothèque,557615.15,2024-03-20
284,GAR_000284,304,Hypothèque,108046793.25,2024-06-22
285,GAR_000285,305,Nantissement,4253698.56,2024-09-29
286,GAR_000286,305,Garantie sur matériel,2618026.64,2024-10-03
287,GAR_000287,306,Hypothèque,14182431.64,2019-07-13
288,GAR_000288,308,Nantissement,13662753.36,2017-12-19
289,GAR_000289,308,Garantie sur créances,9140532.01,2017-12-17
290,GAR_000290,309,Caution bancaire,2589102.86,2024-02-15
291,GAR_000291,310,Garantie Tamwilcom,49678.24,2024-11-08
292,GAR_000292,311,Hypothèque,5742867.69,2024-03-12
293,GAR_000293,312,Garantie Tamwilcom,45137.15,2024-07-14
294,GAR_000294,313,Garantie Tamwilcom,127602.68,2024-06-08
295,GAR_000295,314,Caution personnelle,327754.12,2024-12-05
296,GAR_000296,316,Garantie Tamwilcom,75701.48,2024-12-09
297,GAR_000297,317,Garantie sur créances,27896865.03,2022-11-24
298,GAR_000298,318,Aval,3919180.89,2024-12-14
299,GAR_000299,318,Nantissement,5305250.86,2024-12-14
300,GAR_000300,319,Garantie Tamwilcom,202224.05,2024-08-02
301,GAR_000301,320,Caution personnelle,25840.05,2024-12-02
302,GAR_000302,322,Caution personnelle,551637.97,2024-08-22
303,GAR_000303,323,Garantie Tamwilcom,2890329.64,2020-07-06
304,GAR_000304,324,Garantie Tamwilcom,769555.11,2024-11-24
305,GAR_000305,325,Garantie sur matériel,8059801.28,2024-08-11
306,GAR_000306,326,Caution bancaire,1572570.61,2024-10-24
307,GAR_000307,326,Nantissement,1910148.03,2024-10-31
308,GAR_000308,328,Garantie sur matériel,590342.25,2024-06-26
309,GAR_000309,329,Nantissement,4579158.87,2024-08-19
310,GAR_000310,331,Caution bancaire,4211088.8,2024-10-03
311,GAR_000311,331,Garantie sur matériel,3955257.2,2024-10-01
312,GAR_000312,332,Garantie sur matériel,5887959.9,2023-09-18
313,GAR_000313,333,Caution bancaire,3370306.66,2019-01-14
314,GAR_000314,334,Caution bancaire,2280989.02,2023-08-09
315,GAR_000315,336,Garantie Tamwilcom,496031.79,2024-07-30
316,GAR_000316,337,Garantie Tamwilcom,86980.27,2024-11-11
317,GAR_000317,339,Hypothèque,8594566.31,2021-03-14
318,GAR_000318,340,Garantie sur créances,398617.29,2024-10-17
319,GAR_000319,340,Aval,523458.02,2024-10-12
320,GAR_000320,341,Caution personnelle,10039.5,2024-08-19
321,GAR_000321,342,Caution personnelle,320360.93,2024-08-14
322,GAR_000322,343,Nantissement,13453745.8,2021-11-14
323,GAR_000323,344,Garantie de l'État,11611975.62,2023-07-14
324,GAR_000324,344,Garantie sur créances,10036659.87,2023-07-08
325,GAR_000325,346,Garantie Tamwilcom,390956.41,2024-11-08
326,GAR_000326,347,Caution personnelle,488565.14,2024-11-27
327,GAR_000327,349,Hypothèque,4485117.36,2024-10-14
328,GAR_000328,350,Caution personnelle,120656.66,2024-12-23
329,GAR_000329,352,Hypothèque,17948013.51,2024-11-29
330,GAR_000330,352,Garantie sur créances,10417285.84,2024-11-27
331,GAR_000331,353,Hypothèque,408681.59,2024-12-25
332,GAR_000332,354,Nantissement,9694479.79,2023-09-14
333,GAR_000333,355,Hypothèque,1963364.41,2023-12-02
334,GAR_000334,356,Nantissement,1845071.18,2024-11-09
335,GAR_000335,358,Nantissement,19196459.58,2020-06-20
336,GAR_000336,358,Hypothèque,15986383.12,2020-06-24
337,GAR_000337,359,Garantie Tamwilcom,139340.46,2024-02-14
338,GAR_000338,360,Garantie Tamwilcom,15005.83,2023-10-07
339,GAR_000339,361,Caution personnelle,40494.64,2024-12-05
340,GAR_000340,363,Nantissement,5683886.75,2022-08-09
341,GAR_000341,363,Garantie sur fonds de commerce,5465148.09,2022-08-13
342,GAR_000342,364,Garantie sur fonds de commerce,3721910.8,2023-08-07
343,GAR_000343,365,Caution personnelle,61234.1,2024-12-07
344,GAR_000344,366,Garantie de l'État,9549973.39,2024-10-25
345,GAR_000345,366,Garantie sur fonds de commerce,15503626.52,2024-10-27
346,GAR_000346,366,Hypothèque,16894385.36,2024-10-22
347,GAR_000347,368,Hypothèque,4054419.06,2023-11-28
348,GAR_000348,368,Aval,2842382.88,2023-11-28
349,GAR_000349,368,Garantie sur créances,2811814.37,2023-11-23
350,GAR_000350,369,Caution personnelle,148783.9,2024-07-22
351,GAR_000351,371,Caution personnelle,144272.9,2024-07-25
352,GAR_000352,372,Caution personnelle,30674.41,2024-10-08
353,GAR_000353,373,Garantie sur matériel,1334434.19,2022-05-15
354,GAR_000354,373,Garantie sur matériel,1382272.73,2022-05-22
355,GAR_000355,374,Garantie sur matériel,1419331.92,2024-05-16
356,GAR_000356,375,Garantie Tamwilcom,270402.32,2023-09-28
357,GAR_000357,376,Caution bancaire,10223288.67,2024-08-11
358,GAR_000358,377,Nantissement,2934163.23,2020-01-03
359,GAR_000359,378,Caution personnelle,35910.08,2024-10-25
360,GAR_000360,379,Garantie Tamwilcom,11215999.16,2021-05-09
361,GAR_000361,381,Garantie sur créances,19920478.4,2022-03-24
362,GAR_000362,382,Garantie Tamwilcom,45616.75,2024-08-21
363,GAR_000363,383,Garantie de l'État,324614.72,2024-07-25
364,GAR_000364,383,Nantissement,344285.17,2024-07-21
365,GAR_000365,383,Hypothèque,419810.65,2024-07-27
366,GAR_000366,385,Nantissement,12978158.45,2020-10-13
367,GAR_000367,386,Garantie de l'État,599299.18,2024-08-25
368,GAR_000368,386,Garantie de l'État,677305.15,2024-08-26
369,GAR_000369,386,Garantie sur fonds de commerce,872397.67,2024-08-27
370,GAR_000370,387,Caution bancaire,2582589.92,2024-08-15
371,GAR_000371,387,Hypothèque,3721607.7,2024-08-11
372,GAR_000372,388,Garantie Tamwilcom,840793.83,2020-08-01
373,GAR_000373,388,Nantissement,984022.94,2020-07-29
374,GAR_000374,390,Caution personnelle,161367.46,2024-09-18
375,GAR_000375,391,Nantissement,4767008.82,2024-11-14
376,GAR_000376,392,Caution bancaire,9353765.58,2023-09-07
377,GAR_000377,393,Garantie Tamwilcom,12209914.2,2023-12-06
378,GAR_000378,395,Garantie Tamwilcom,4184106.9,2024-07-15
379,GAR_000379,395,Hypothèque,5797341.36,2024-07-11
380,GAR_000380,396,Caution bancaire,429360.23,2024-12-23
381,GAR_000381,396,Garantie sur matériel,444318.86,2024-12-24
382,GAR_000382,397,Garantie Tamwilcom,10192067.44,2022-08-11
383,GAR_000383,398,Hypothèque,4515488.09,2024-02-04
384,GAR_000384,399,Nantissement,25324162.08,2024-11-17
385,GAR_000385,400,Garantie sur fonds de commerce,4444489.93,2023-12-25
386,GAR_000386,400,Hypothèque,3663293.08,2023-12-22
387,GAR_000387,400,Garantie de l'État,2877314.51,2023-12-22
388,GAR_000388,401,Caution personnelle,132066.74,2024-10-16
389,GAR_000389,402,Caution personnelle,62445.86,2024-09-01
390,GAR_000390,404,Garantie Tamwilcom,599874.56,2024-06-25
391,GAR_000391,406,Hypothèque,1328193.13,2024-11-21
392,GAR_000392,407,Garantie Tamwilcom,5786183.43,2023-05-14
393,GAR_000393,407,Garantie Tamwilcom,5367933.89,2023-05-09
394,GAR_000394,410,Nantissement,26050488.96,2022-11-24
395,GAR_000395,411,Caution personnelle,255930.49,2024-10-29
396,GAR_000396,413,Garantie Tamwilcom,646999.12,2024-11-02
397,GAR_000397,414,Hypothèque,5054055.11,2024-11-04
398,GAR_000398,415,Garantie Tamwilcom,555960.34,2024-07-16
399,GAR_000399,416,Caution personnelle,366425.41,2024-05-24
400,GAR_000400,419,Garantie sur fonds de commerce,61832706.22,2023-03-30
401,GAR_000401,420,Garantie de l'État,2287231.9,2018-06-28
402,GAR_000402,421,Garantie Tamwilcom,605061.56,2024-10-01
403,GAR_000403,426,Caution bancaire,2456270.66,2021-03-30
404,GAR_000404,427,Garantie sur matériel,3838855.19,2021-04-29
405,GAR_000405,427,Garantie sur matériel,4911106.8,2021-04-30
406,GAR_000406,428,Garantie Tamwilcom,4462265.34,2024-12-18
407,GAR_000407,429,Caution personnelle,816832.42,2024-09-18
408,GAR_000408,431,Garantie Tamwilcom,62848.32,2024-12-12
409,GAR_000409,432,Garantie Tamwilcom,293595.25,2024-09-24
410,GAR_000410,433,Caution personnelle,115808.61,2023-04-02
411,GAR_000411,434,Nantissement,9612440.47,2022-06-20
412,GAR_000412,435,Caution personnelle,51033.54,2024-11-15
413,GAR_000413,436,Garantie Tamwilcom,512187.16,2023-05-11
414,GAR_000414,437,Hypothèque,5031830.03,2024-10-04
415,GAR_000415,437,Garantie sur matériel,3540581.8,2024-10-06
416,GAR_000416,438,Garantie sur matériel,4101729.2,2024-11-25
417,GAR_000417,439,Nantissement,19755214.95,2024-12-10
418,GAR_000418,440,Caution personnelle,92246.89,2024-10-07
419,GAR_000419,441,Garantie Tamwilcom,7382218.96,2023-08-22
420,GAR_000420,442,Nantissement,697470.17,2024-07-21
421,GAR_000421,443,Hypothèque,14377846.17,2024-02-12
422,GAR_000422,443,Garantie de l'État,10870727.51,2024-02-07
423,GAR_000423,443,Hypothèque,11149503.64,2024-02-11
424,GAR_000424,444,Garantie Tamwilcom,570842.97,2024-11-13
425,GAR_000425,445,Caution personnelle,55105.79,2024-09-24
426,GAR_000426,446,Caution personnelle,53763.88,2024-06-16
427,GAR_000427,447,Garantie sur créances,445689.08,2024-05-12
428,GAR_000428,447,Aval,418531.34,2024-05-17
429,GAR_000429,448,Garantie de l'État,4647358.93,2024-12-24
430,GAR_000430,449,Nantissement,4488868.38,2017-11-17
